"","sos","info","own","fishtech","rank_one","education","wtp_predict","wtp_predict_int"
"187",0,1,"4",1,"pollution","formal",0.839435050472672,2.68545816229871
"188",0,1,"4",1,"pollution","higher",1.92409156217782,3.57949753283895
"189",0,1,"4",1,"pollution","no_formal",-0.810015992123271,0.462454535351223
"190",0,1,"4",1,"weather","formal",0.233515133939809,1.75503870311455
"191",0,1,"4",1,"weather","higher",1.22675765018839,2.64907807365479
"192",0,1,"4",1,"weather","no_formal",-1.27692147552775,-0.467964923832942
"193",1,0,"1",0,"corruption","formal",4.0997114227226,5.644592119257
"194",1,0,"1",0,"corruption","higher",5.67623968405665,6.53863148979724
"195",1,0,"1",0,"corruption","no_formal",1.70226471376272,3.42158849230951
"196",1,0,"1",0,"iuu","formal",2.86654888426278,4.37312084290982
"197",1,0,"1",0,"iuu","higher",4.25703223832093,5.26716021345006
"198",1,0,"1",0,"iuu","no_formal",0.752023047453912,2.15011721596233
"199",1,0,"1",0,"pollution","formal",2.3281136870675,3.87864528099637
"200",1,0,"1",0,"pollution","higher",3.63736433804549,4.77268465153662
"201",1,0,"1",0,"pollution","no_formal",0.337119461734237,1.65564165404889
"202",1,0,"1",0,"weather","formal",1.59672910900042,2.94822582181221
"203",1,0,"1",0,"weather","higher",2.79563714757675,3.84226519235245
"204",1,0,"1",0,"weather","no_formal",-0.226465693101107,0.725222194864721
"205",1,0,"1",1,"corruption","formal",6.03014169175466,6.81152589761919
"206",1,0,"1",1,"corruption","higher",7.89791032830577,7.70556526815944
"207",1,0,"1",1,"corruption","no_formal",3.18980201588435,4.5885222706717
"208",1,0,"1",1,"iuu","formal",4.56917053786237,5.54005462127201
"209",1,0,"1",1,"iuu","higher",6.2165252108186,6.43409399181226
"210",1,0,"1",1,"iuu","no_formal",2.06401719806332,3.31705099432453
"211",1,0,"1",1,"pollution","formal",3.93126736872694,5.04557905935857
"212",1,0,"1",1,"pollution","higher",5.482382793205,5.93961842989881
"213",1,0,"1",1,"pollution","no_formal",1.57246628609676,2.82257543241108
"214",1,0,"1",1,"weather","formal",3.06477026260155,4.1151596001744
"215",1,0,"1",1,"weather","higher",4.48515890229965,5.00919897071465
"216",1,0,"1",1,"weather","no_formal",0.904767075087049,1.89215597322691
"217",1,0,"2",0,"corruption","formal",3.96823675226561,5.84351871094617
"218",1,0,"2",0,"corruption","higher",5.52492967793916,6.73755808148641
"219",1,0,"2",0,"corruption","no_formal",1.60095389216698,3.62051508399868
"220",1,0,"2",0,"iuu","formal",2.75058944018911,4.57204743459899
"221",1,0,"2",0,"iuu","higher",4.1235782115401,5.46608680513923
"222",1,0,"2",0,"iuu","no_formal",0.662667839260163,2.3490438076515
"223",1,0,"2",0,"pollution","formal",2.21892864921903,4.07757187268554
"224",1,0,"2",0,"pollution","higher",3.51170675938516,4.97161124322579
"225",1,0,"2",0,"pollution","no_formal",0.252984427571831,1.85456824573806
"226",1,0,"2",0,"weather","formal",1.49674610003952,3.14715241350138
"227",1,0,"2",0,"weather","higher",2.68056989055353,4.04119178404162
"228",1,0,"2",0,"weather","no_formal",-0.303509892932404,0.92414878655389
"229",1,0,"2",1,"corruption","formal",5.87437901245282,7.01045248930836
"230",1,0,"2",1,"corruption","higher",7.7186480272396,7.9044918598486
"231",1,0,"2",1,"corruption","no_formal",3.06977551223028,4.78744886236087
"232",1,0,"2",1,"iuu","formal",4.43178929449067,5.73898121296118
"233",1,0,"2",1,"iuu","higher",6.05841751826651,6.63302058350143
"234",1,0,"2",1,"iuu","no_formal",1.95815493129015,3.5159775860137
"235",1,0,"2",1,"pollution","formal",3.80191200334868,5.24450565104774
"236",1,0,"2",1,"pollution","higher",5.33351182772792,6.13854502158798
"237",1,0,"2",1,"pollution","no_formal",1.47278854361803,3.02150202410025
"238",1,0,"2",1,"weather","formal",2.94631686540894,4.31408619186357
"239",1,0,"2",1,"weather","higher",4.34883466439473,5.20812556240381
"240",1,0,"2",1,"weather","no_formal",0.813490094139492,2.09108256491608
"241",1,0,"3",0,"corruption","formal",2.79351098728789,4.52966691385388
"242",1,0,"3",0,"corruption","higher",4.17297525152899,5.42370628439413
"243",1,0,"3",0,"corruption","no_formal",0.695742021424866,2.3066632869064
"244",1,0,"3",0,"iuu","formal",1.71449217390698,3.2581956375067
"245",1,0,"3",0,"iuu","higher",2.93116690406513,4.15223500804695
"246",1,0,"3",0,"iuu","no_formal",-0.135720663523574,1.03519201055922
"247",1,0,"3",0,"pollution","formal",1.24336068114706,2.76372007559326
"248",1,0,"3",0,"pollution","higher",2.38895669122445,3.6577594461335
"249",1,0,"3",0,"pollution","no_formal",-0.498761836741408,0.54071644864577
"250",1,0,"3",0,"weather","formal",0.60339823099292,1.83330061640909
"251",1,0,"3",0,"weather","higher",1.65244431274724,2.72733998694934
"252",1,0,"3",0,"weather","no_formal",-0.991899574909368,-0.389703010538395
"253",1,0,"3",1,"corruption","formal",4.48263996521415,5.69660069221608
"254",1,0,"3",1,"corruption","higher",6.11693993381245,6.59064006275632
"255",1,0,"3",1,"corruption","no_formal",1.99733908145219,3.47359706526859
"256",1,0,"3",1,"iuu","formal",3.20428831918904,4.4251294158689
"257",1,0,"3",1,"iuu","higher",4.64572578504883,5.31916878640914
"258",1,0,"3",1,"iuu","no_formal",1.01227591227364,2.20212578892141
